|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |     Sp |   Sint |    S_N |
|   227 | G307.8055-0.4560 | 203.6151 | -62.9200 |   33 |   21 | -26 |   26 |   1.24 |   2.33 |  11.12 |
|   228 | G307.9574+0.0160 | 203.7693 | -62.4293 |   30 |   19 |  34 |   24 |   0.60 |   0.92 |   5.06 |
|   230 | G308.0573-0.3969 | 204.1369 | -62.8190 |   33 |   27 |  19 |   30 |   2.95 |   7.08 |  24.90 |
|   231 | G308.0753-0.4115 | 204.1815 | -62.8302 |   32 |   25 |  40 |   28 |   1.28 |   2.81 |  11.09 |
|   232 | G308.0758-0.4226 | 204.1867 | -62.8410 |   29 |   19 |  81 |   23 |   0.66 |   0.98 |   5.84 |
|   233 | G308.0801-0.4666 | 204.2130 | -62.8836 |   24 |   19 | -17 |   21 |   0.60 |   0.75 |   5.36 |
|   234 | G308.0930-0.4146 | 204.2207 | -62.8302 |   28 |   23 |  90 |   26 |   0.92 |   1.63 |   8.56 |
|   235 | G308.1294-0.2992 | 204.2549 | -62.7101 |   24 |   22 |  58 |   23 |   0.70 |   0.99 |   6.21 |
|   236 | G308.3987-0.1759 | 204.7827 | -62.5405 |   30 |   23 |  84 |   26 |   1.04 |   1.89 |   8.83 |
|   237 | G308.6458+0.6475 | 204.9756 | -61.6855 |   30 |   27 | 105 |   28 |   2.10 |   4.54 |  19.46 |
|   238 | G308.6519-0.5082 | 205.4614 | -62.8189 |   28 |   23 |  44 |   25 |   2.04 |   3.55 |  19.71 |
|   239 | G308.6720+0.5392 | 205.0729 | -61.7870 |   23 |   23 |  88 |   23 |   0.67 |   0.99 |   6.46 |
|   240 | G308.6894+0.5269 | 205.1138 | -61.7957 |   39 |   26 | 114 |   32 |   1.24 |   3.42 |  11.31 |
|   241 | G308.7354+0.7780 | 205.1091 | -61.5405 |   29 |   20 |  80 |   24 |   0.72 |   1.11 |   6.60 |
|   242 | G308.7443+0.5324 | 205.2256 | -61.7799 |   39 |   22 |   5 |   29 |   0.77 |   1.75 |   6.82 |
|   243 | G308.7553+0.5484 | 205.2420 | -61.7621 |   33 |   25 | -18 |   29 |   1.33 |   3.01 |  12.79 |
|   244 | G308.7917+0.1697 | 205.4732 | -62.1267 |   33 |   26 |  73 |   29 |   0.70 |   1.62 |   6.28 |
|   245 | G308.9083+0.1148 | 205.7407 | -62.1577 |   22 |   22 | 142 |   22 |   0.53 |   0.70 |   5.12 |
|   246 | G308.9180+0.1220 | 205.7580 | -62.1487 |   38 |   28 |  68 |   32 |   2.60 |   7.40 |  23.08 |
|   247 | G309.0674-0.2437 | 206.2322 | -62.4766 |   31 |   19 |  75 |   24 |   0.67 |   1.08 |   6.38 |
|   248 | G309.1159+0.1373 | 206.1660 | -62.0937 |   39 |   30 | 113 |   34 |   0.75 |   2.41 |   6.89 |
|   249 | G309.1173-0.2042 | 206.3201 | -62.4277 |   34 |   31 |  61 |   32 |   0.72 |   2.06 |   7.30 |
|   250 | G309.1531-0.3517 | 206.4625 | -62.5645 |   36 |   21 | 110 |   28 |   0.72 |   1.51 |   6.73 |
|   251 | G309.1693-0.3455 | 206.4940 | -62.5550 |   59 |   24 |  24 |   38 |   0.62 |   2.36 |   5.83 |
|   252 | G309.1721-0.3274 | 206.4916 | -62.5368 |   33 |   29 | 142 |   31 |   0.71 |   1.79 |   6.75 |
|   253 | G309.1788-0.0312 | 206.3724 | -62.2457 |   34 |   30 |  36 |   32 |   0.93 |   2.62 |   8.70 |
|   254 | G309.2205-0.4633 | 206.6568 | -62.6594 |   41 |   22 |  83 |   30 |   1.11 |   2.76 |  10.65 |
|   255 | G309.2263-0.4557 | 206.6656 | -62.6507 |   28 |   21 | 102 |   24 |   0.56 |   0.91 |   5.40 |
|   256 | G309.2355-0.4570 | 206.6859 | -62.6500 |   35 |   23 |  79 |   29 |   1.95 |   4.32 |  19.34 |
|   257 | G309.2694-0.5543 | 206.8033 | -62.7378 |   53 |   26 | 107 |   37 |   0.52 |   1.94 |   5.13 |
|   258 | G309.2696-0.5198 | 206.7875 | -62.7041 |   34 |   25 |  85 |   29 |   0.67 |   1.55 |   6.97 |
|   259 | G309.3097-0.4842 | 206.8563 | -62.6607 |   26 |   24 |   8 |   25 |   0.74 |   1.20 |   6.74 |
