   Long    Lat   Vlsr       Dist sigma_D    Prob     Arm     ExtraInformation
 351.47   0.59   -4.3       1.35    0.14    0.70     ...?    G351.4680+0.5865    
 351.50   0.65   -3.8       1.34    0.14    0.76     ...?    G351.4968+0.6453    
 351.50   0.66   -4.5       1.35    0.14    0.81     ...?    G351.4981+0.6634    
 351.51   0.64   -3.8       1.34    0.14    0.76     ...?    G351.5089+0.6415    
 351.53   0.69   -3.2       1.34    0.14    0.79     ...?    G351.5290+0.6939    
 351.55   0.18  -40.8      11.64    0.60    0.71     ...     G351.5471+0.1847    
 351.55   0.69   -3.0       1.34    0.14    0.77     ...?    G351.5508+0.6942    
 351.57   0.61   -2.7       1.34    0.14    0.67     ...?    G351.5663+0.6068    
 351.57   0.76   -2.7       1.34    0.14    0.79     ...?    G351.5719+0.7631    
 352.06   0.60    0.9      18.47    1.43    0.53     ...?    G352.0609+0.6004    
 352.57  -0.19  -85.4       7.64    0.39    0.51     ...     G352.5730-0.1914    
 352.96   0.38   -2.7       1.35    0.14    0.86     ...?    G352.9633+0.3817    
 352.97   0.92   -4.8       1.35    0.14    1.00     ...?    G352.9722+0.9249    
