|             Name |       ra |      dec | amaj | amin |  PA | FWHM |   Sp |  Sint |   S_N | nYSOs | nMIPS | nSIMBAD |
| G001.2106+0.1020 |   267.02 | -27.8484 |   72 |   30 | 116 |   47 | 0.82 |  4.86 | 15.32 |     0 |     0 |       0 |
| G001.2250-0.0034 | 267.1305 | -27.8904 |   34 |   22 |  95 |   27 | 0.52 |  1.05 |  9.56 |     0 |     0 |       0 |
| G001.2339+0.0592 | 267.0751 | -27.8505 |   30 |   23 |  33 |   26 | 0.74 |  1.38 | 13.57 |     0 |     0 |       0 |
| G001.2360-0.0558 | 267.1877 |  -27.908 |   46 |   31 |  19 |   38 | 0.54 |  2.05 |  9.74 |     0 |     0 |       0 |
| G001.2866+0.2941 | 266.8785 |  -27.684 |   36 |   34 | 122 |   35 | 0.56 |   1.9 | 11.05 |     0 |     0 |       0 |
| G001.2885+0.0346 | 267.1307 | -27.8164 |   39 |   39 |   6 |   39 | 0.95 |  3.93 | 17.03 |     0 |     0 |       0 |
| G001.2890+0.1464 | 267.0228 | -27.7583 |   33 |   28 |  29 |   31 | 0.51 |  1.31 |  9.01 |     0 |     0 |       0 |
| G001.2981+0.0310 | 267.1398 |   -27.81 |   33 |   23 | 153 |   27 |  0.7 |   1.4 | 12.94 |     0 |     0 |       0 |
| G001.3159-0.0466 | 267.2253 | -27.8348 |   36 |   34 |  99 |   35 | 0.53 |  1.73 |  9.88 |     0 |     0 |       0 |
| G001.3165-0.1432 | 267.3194 |  -27.884 |   42 |   31 |  -2 |   36 | 0.68 |  2.38 | 12.15 |     0 |     0 |       0 |
| G001.3214-0.0710 | 267.2523 | -27.8427 |   43 |   29 |  78 |   35 | 0.58 |  1.96 |  10.9 |     0 |     0 |       0 |
| G001.3340+0.0966 | 267.0973 | -27.7455 |   58 |   30 | 101 |   41 | 0.81 |  3.77 | 13.99 |     0 |     0 |       0 |
| G001.3794+0.1111 | 267.1097 | -27.6991 |   55 |   34 |  32 |   43 | 0.54 |  2.71 | 10.18 |     0 |     0 |       0 |
| G001.3810-0.2105 | 267.4222 | -27.8634 |   70 |   47 | 126 |   57 | 0.71 |   6.3 | 13.68 |     0 |     0 |       0 |
| G001.4536+0.2001 | 267.0668 | -27.5896 |   37 |   25 | -35 |   30 | 0.58 |  1.43 | 10.65 |     0 |     0 |       0 |
| G001.4727+0.0399 | 267.2328 | -27.6559 |   51 |   49 | 159 |   50 |  0.8 |  5.43 | 14.45 |     0 |     0 |       0 |
| G001.4811+0.1983 | 267.0846 |  -27.567 |   43 |   38 | -55 |   40 | 0.59 |  2.58 | 10.97 |     0 |     0 |       0 |
| G001.5040+0.1548 |   267.14 | -27.5698 |   47 |   33 |  92 |   40 | 0.51 |  2.17 |   9.8 |     0 |     0 |       0 |
| G001.5229-0.1140 | 267.4111 |  -27.692 |   61 |   41 |  45 |   50 | 0.63 |  4.32 | 12.23 |     0 |     0 |       0 |
| G001.5801+0.0068 | 267.3273 | -27.5809 |   23 |   19 | -23 |   21 | 0.52 |  0.61 |  8.83 |     0 |     0 |       0 |
